Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-54mp,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,sentence,label,TriggerWord,Label
12,1594143554557,07/07/2020 17:39:14,1594143554480,-4,07/07/2020 13:39:14,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,200,1,2,ReadingPres,Zone1,reading,283.48099999999977,null,,go,9,0,1,0,,,false,8,8,Trial,The|bikes|need|to|be|repaired|before|we|go|on|our|cross|country|trip.,C.SVA.G.38,3,
13,1594143554853,07/07/2020 17:39:14,1594143554781,-4,07/07/2020 13:39:14,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,200,1,2,ReadingPres,Zone1,reading,300.4500000000007,null,,on,10,0,1,0,,,false,8,8,Trial,The|bikes|need|to|be|repaired|before|we|go|on|our|cross|country|trip.,C.SVA.G.38,3,
14,1594143555150,07/07/2020 17:39:15,1594143555084,-4,07/07/2020 13:39:15,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,200,1,2,ReadingPres,Zone1,reading,300.4459999999999,null,,our,11,0,1,0,,,false,8,8,Trial,The|bikes|need|to|be|repaired|before|we|go|on|our|cross|country|trip.,C.SVA.G.38,3,
15,1594143555510,07/07/2020 17:39:15,1594143555437,-4,07/07/2020 13:39:15,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,200,1,2,ReadingPres,Zone1,reading,367.0779999999995,null,,cross,12,0,1,0,,,false,8,8,Trial,The|bikes|need|to|be|repaired|before|we|go|on|our|cross|country|trip.,C.SVA.G.38,3,
16,1594143555838,07/07/2020 17:39:15,1594143555765,-4,07/07/2020 13:39:15,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,200,1,2,ReadingPres,Zone1,reading,316.84900000000016,null,,country,13,0,1,0,,,false,8,8,Trial,The|bikes|need|to|be|repaired|before|we|go|on|our|cross|country|trip.,C.SVA.G.38,3,
17,1594143556157,07/07/2020 17:39:16,1594143556075,-4,07/07/2020 13:39:16,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,200,1,2,ReadingPres,Zone1,reading,317.255000000001,null,,trip.,14,0,1,0,,,false,8,8,Trial,The|bikes|need|to|be|repaired|before|we|go|on|our|cross|country|trip.,C.SVA.G.38,3,
18,1594143556313,07/07/2020 17:39:16,1594143556084,-4,07/07/2020 13:39:16,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,200,1,2,ReadingPres,Zone1,reading,4805.339000000001,null,,Content End,,0,1,0,,,true,8,8,Trial,The|bikes|need|to|be|repaired|before|we|go|on|our|cross|country|trip.,C.SVA.G.38,3,
19,1594143556891,07/07/2020 17:39:16,1594143556820,-4,07/07/2020 13:39:16,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,200,1,3,BlankScreen,Zone1,fixation,750.7849999999999,null,,null,,0,1,0,,,false,8,8,Trial,The|bikes|need|to|be|repaired|before|we|go|on|our|cross|country|trip.,C.SVA.G.38,3,
20,1594143557500,07/07/2020 17:39:17,1594143557433,-4,07/07/2020 13:39:17,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,200,1,4,JudgmentResponse,Zone2,response_keyboard_single,576.984999992419,null,,1,1,0,1,0,,,false,8,8,Trial,The|bikes|need|to|be|repaired|before|we|go|on|our|cross|country|trip.,C.SVA.G.38,3,
21,1594143557861,07/07/2020 17:39:17,1594143557787,-4,07/07/2020 13:39:17,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,204,2,1,Fixation,fixation,fixation,366.9419999999991,null,,null,,0,1,0,,,false,8,8,Trial,The|technicians|meets|with|their|clients|to|discuss|the|repair|projects.,C.SVA.U.25,3,
