Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-54mp,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,sentence
1,1592934213247,23/06/2020 17:43:33,1592934212345,-4,23/06/2020 13:43:32,19534,4,task-ol6q,,5752168,,1610669,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,SPR,9,L3,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1592934219211,23/06/2020 17:43:39,1592934218380,-4,23/06/2020 13:43:38,19534,4,task-ol6q,,5752168,,1610669,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,SPR,9,L3,L3,1,1,1,Instructions,advancementZone,continue_button,5953.4700000076555,null,,null,,0,1,0,,,false,,,Introduction,
3,1592934219556,23/06/2020 17:43:39,1592934218746,-4,23/06/2020 13:43:38,19534,4,task-ol6q,,5752168,,1610669,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,SPR,9,L3,L3,9,1,1,Fixation,fixation,fixation,400.4480000000003,null,,null,,0,1,0,,,false,2,2,Trial,Their|coach|explained|the|players|need|stretched|during|warmups.
4,1592934220295,23/06/2020 17:43:40,1592934219491,-4,23/06/2020 13:43:39,19534,4,task-ol6q,,5752168,,1610669,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,SPR,9,L3,L3,9,1,2,ReadingPres,Zone1,reading,734.165,null,,Their,1,0,1,0,,,false,2,2,Trial,Their|coach|explained|the|players|need|stretched|during|warmups.
5,1592934220781,23/06/2020 17:43:40,1592934219937,-4,23/06/2020 13:43:39,19534,4,task-ol6q,,5752168,,1610669,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,SPR,9,L3,L3,9,1,2,ReadingPres,Zone1,reading,450.4919999999993,null,,coach,2,0,1,0,,,false,2,2,Trial,Their|coach|explained|the|players|need|stretched|during|warmups.
6,1592934221124,23/06/2020 17:43:41,1592934220302,-4,23/06/2020 13:43:40,19534,4,task-ol6q,,5752168,,1610669,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,SPR,9,L3,L3,9,1,2,ReadingPres,Zone1,reading,366.89900000000125,null,,explained,3,0,1,0,,,false,2,2,Trial,Their|coach|explained|the|players|need|stretched|during|warmups.
7,1592934221469,23/06/2020 17:43:41,1592934220651,-4,23/06/2020 13:43:40,19534,4,task-ol6q,,5752168,,1610669,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,SPR,9,L3,L3,9,1,2,ReadingPres,Zone1,reading,350.3169999999991,null,,the,4,0,1,0,,,false,2,2,Trial,Their|coach|explained|the|players|need|stretched|during|warmups.
8,1592934221780,23/06/2020 17:43:41,1592934220959,-4,23/06/2020 13:43:40,19534,4,task-ol6q,,5752168,,1610669,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,SPR,9,L3,L3,9,1,2,ReadingPres,Zone1,reading,300.5740000000005,null,,players,5,0,1,0,,,false,2,2,Trial,Their|coach|explained|the|players|need|stretched|during|warmups.
9,1592934222078,23/06/2020 17:43:42,1592934221274,-4,23/06/2020 13:43:41,19534,4,task-ol6q,,5752168,,1610669,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,SPR,9,L3,L3,9,1,2,ReadingPres,Zone1,reading,316.9329999999991,null,,need,6,0,1,0,,,false,2,2,Trial,Their|coach|explained|the|players|need|stretched|during|warmups.
10,1592934222436,23/06/2020 17:43:42,1592934221615,-4,23/06/2020 13:43:41,19534,4,task-ol6q,,5752168,,1610669,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,SPR,9,L3,L3,9,1,2,ReadingPres,Zone1,reading,333.76300000000083,null,,stretched,7,0,1,0,,,false,2,2,Trial,Their|coach|explained|the|players|need|stretched|during|warmups.
11,1592934222703,23/06/2020 17:43:42,1592934221898,-4,23/06/2020 13:43:41,19534,4,task-ol6q,,5752168,,1610669,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,SPR,9,L3,L3,9,1,2,ReadingPres,Zone1,reading,283.66799999999967,null,,during,8,0,1,0,,,false,2,2,Trial,Their|coach|explained|the|players|need|stretched|during|warmups.
