Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-54mp,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,sentence
1,1592933354276,23/06/2020 17:29:14,1592933353395,-4,23/06/2020 13:29:13,18296,8,task-hdlh,,5752023,,1610621,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1592933392688,23/06/2020 17:29:52,1592933391860,-4,23/06/2020 13:29:51,18296,8,task-hdlh,,5752023,,1610621,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L1,L1,1,1,1,Instructions,advancementZone,continue_button,38364.90999998932,null,,null,,0,1,0,,,false,,,Introduction,
3,1592933393161,23/06/2020 17:29:53,1592933392350,-4,23/06/2020 13:29:52,18296,8,task-hdlh,,5752023,,1610621,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L1,L1,5,1,1,Fixation,fixation,fixation,500.6820000000007,null,,null,,0,1,0,,,false,1,1,Acceptability Judgment,The| |widow| |asked| |for| |Fred's| |advice| |about| |taxes.
4,1592933393458,23/06/2020 17:29:53,1592933392651,-4,23/06/2020 13:29:52,18296,8,task-hdlh,,5752023,,1610621,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L1,L1,5,1,2,RSVP,Zone1,reading,300.39600000000064,null,,The,1,0,1,0,,,false,1,1,Acceptability Judgment,The| |widow| |asked| |for| |Fred's| |advice| |about| |taxes.
5,1592933393754,23/06/2020 17:29:53,1592933392951,-4,23/06/2020 13:29:52,18296,8,task-hdlh,,5752023,,1610621,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L1,L1,5,1,2,RSVP,Zone1,reading,300.2430000000022,null,, ,2,0,1,0,,,false,1,1,Acceptability Judgment,The| |widow| |asked| |for| |Fred's| |advice| |about| |taxes.
6,1592933394067,23/06/2020 17:29:54,1592933393251,-4,23/06/2020 13:29:53,18296,8,task-hdlh,,5752023,,1610621,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L1,L1,5,1,2,RSVP,Zone1,reading,300.36999999999534,null,,widow,3,0,1,0,,,false,1,1,Acceptability Judgment,The| |widow| |asked| |for| |Fred's| |advice| |about| |taxes.
7,1592933394365,23/06/2020 17:29:54,1592933393551,-4,23/06/2020 13:29:53,18296,8,task-hdlh,,5752023,,1610621,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L1,L1,5,1,2,RSVP,Zone1,reading,300.32300000000396,null,, ,4,0,1,0,,,false,1,1,Acceptability Judgment,The| |widow| |asked| |for| |Fred's| |advice| |about| |taxes.
8,1592933394661,23/06/2020 17:29:54,1592933393852,-4,23/06/2020 13:29:53,18296,8,task-hdlh,,5752023,,1610621,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L1,L1,5,1,2,RSVP,Zone1,reading,300.1100000000006,null,,asked,5,0,1,0,,,false,1,1,Acceptability Judgment,The| |widow| |asked| |for| |Fred's| |advice| |about| |taxes.
9,1592933394957,23/06/2020 17:29:54,1592933394152,-4,23/06/2020 13:29:54,18296,8,task-hdlh,,5752023,,1610621,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L1,L1,5,1,2,RSVP,Zone1,reading,300.5440000000017,null,, ,6,0,1,0,,,false,1,1,Acceptability Judgment,The| |widow| |asked| |for| |Fred's| |advice| |about| |taxes.
10,1592933395271,23/06/2020 17:29:55,1592933394452,-4,23/06/2020 13:29:54,18296,8,task-hdlh,,5752023,,1610621,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L1,L1,5,1,2,RSVP,Zone1,reading,300.33699999999953,null,,for,7,0,1,0,,,false,1,1,Acceptability Judgment,The| |widow| |asked| |for| |Fred's| |advice| |about| |taxes.
