Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-54mp,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,sentence,Label,
1,1593192645780,26/06/2020 17:30:45,1593192639923,-4,26/06/2020 13:30:39,18296,9,task-unoq,,5796969,,1628844,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1246x814,,ReadingAcceptability,16,L3,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1593192653540,26/06/2020 17:30:53,1593192647820,-4,26/06/2020 13:30:47,18296,9,task-unoq,,5796969,,1628844,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1246x814,,ReadingAcceptability,16,L3,L3,1,1,1,Instructions,advancementZone,continue_button,7839,null,,null,,0,1,0,,,false,,,Introduction,,,
3,1593192654025,26/06/2020 17:30:54,1593192648305,-4,26/06/2020 13:30:48,18296,9,task-unoq,,5796969,,1628844,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1246x814,,ReadingAcceptability,16,L3,L3,10,1,1,Fixation,fixation,fixation,500,null,,null,,0,1,0,,,false,2,2,Acceptability Judgment,The| |chef| |said| |the| |vegetables| |need| |slicer| |before| |being| |cooked.,T.N.U.14,
4,1593192654337,26/06/2020 17:30:54,1593192648604,-4,26/06/2020 13:30:48,18296,9,task-unoq,,5796969,,1628844,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1246x814,,ReadingAcceptability,16,L3,L3,10,1,2,RSVP,Zone1,reading,300,null,,The,1,0,1,0,,,false,2,2,Acceptability Judgment,The| |chef| |said| |the| |vegetables| |need| |slicer| |before| |being| |cooked.,T.N.U.14,
5,1593192654618,26/06/2020 17:30:54,1593192648903,-4,26/06/2020 13:30:48,18296,9,task-unoq,,5796969,,1628844,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1246x814,,ReadingAcceptability,16,L3,L3,10,1,2,RSVP,Zone1,reading,299,null,, ,2,0,1,0,,,false,2,2,Acceptability Judgment,The| |chef| |said| |the| |vegetables| |need| |slicer| |before| |being| |cooked.,T.N.U.14,
6,1593192654930,26/06/2020 17:30:54,1593192649204,-4,26/06/2020 13:30:49,18296,9,task-unoq,,5796969,,1628844,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1246x814,,ReadingAcceptability,16,L3,L3,10,1,2,RSVP,Zone1,reading,301,null,,chef,3,0,1,0,,,false,2,2,Acceptability Judgment,The| |chef| |said| |the| |vegetables| |need| |slicer| |before| |being| |cooked.,T.N.U.14,
7,1593192655227,26/06/2020 17:30:55,1593192649504,-4,26/06/2020 13:30:49,18296,9,task-unoq,,5796969,,1628844,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1246x814,,ReadingAcceptability,16,L3,L3,10,1,2,RSVP,Zone1,reading,300,null,, ,4,0,1,0,,,false,2,2,Acceptability Judgment,The| |chef| |said| |the| |vegetables| |need| |slicer| |before| |being| |cooked.,T.N.U.14,
8,1593192655508,26/06/2020 17:30:55,1593192649804,-4,26/06/2020 13:30:49,18296,9,task-unoq,,5796969,,1628844,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1246x814,,ReadingAcceptability,16,L3,L3,10,1,2,RSVP,Zone1,reading,300,null,,said,5,0,1,0,,,false,2,2,Acceptability Judgment,The| |chef| |said| |the| |vegetables| |need| |slicer| |before| |being| |cooked.,T.N.U.14,
9,1593192655822,26/06/2020 17:30:55,1593192650104,-4,26/06/2020 13:30:50,18296,9,task-unoq,,5796969,,1628844,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1246x814,,ReadingAcceptability,16,L3,L3,10,1,2,RSVP,Zone1,reading,300,null,, ,6,0,1,0,,,false,2,2,Acceptability Judgment,The| |chef| |said| |the| |vegetables| |need| |slicer| |before| |being| |cooked.,T.N.U.14,
10,1593192656121,26/06/2020 17:30:56,1593192650404,-4,26/06/2020 13:30:50,18296,9,task-unoq,,5796969,,1628844,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1246x814,,ReadingAcceptability,16,L3,L3,10,1,2,RSVP,Zone1,reading,300,null,,the,7,0,1,0,,,false,2,2,Acceptability Judgment,The| |chef| |said| |the| |vegetables| |need| |slicer| |before| |being| |cooked.,T.N.U.14,
