Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-54mp,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,sentence
1,1592934582812,23/06/2020 17:49:42,1592934581935,-4,23/06/2020 13:49:41,19534,4,task-41g1,,5752241,,1610697,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,SPR,9,L2,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1592934586423,23/06/2020 17:49:46,1592934585615,-4,23/06/2020 13:49:45,19534,4,task-41g1,,5752241,,1610697,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,SPR,9,L2,L2,1,1,1,Instructions,advancementZone,continue_button,3586.3749999989523,null,,null,,0,1,0,,,false,,,Introduction,
3,1592934586766,23/06/2020 17:49:46,1592934585944,-4,23/06/2020 13:49:45,19534,4,task-41g1,,5752241,,1610697,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,SPR,9,L2,L2,2,1,1,Fixation,fixation,fixation,350.433,null,,null,,0,1,0,,,false,1,1,Trial,The|dentist|explained|the|teeth|need|washing|both|morning|and|night.
4,1592934587579,23/06/2020 17:49:47,1592934586757,-4,23/06/2020 13:49:46,19534,4,task-41g1,,5752241,,1610697,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,SPR,9,L2,L2,2,1,2,ReadingPres,Zone1,reading,801.0140000000001,null,,The,1,0,1,0,,,false,1,1,Trial,The|dentist|explained|the|teeth|need|washing|both|morning|and|night.
5,1592934588001,23/06/2020 17:49:48,1592934587184,-4,23/06/2020 13:49:47,19534,4,task-41g1,,5752241,,1610697,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,SPR,9,L2,L2,2,1,2,ReadingPres,Zone1,reading,433.4970000000003,null,,dentist,2,0,1,0,,,false,1,1,Trial,The|dentist|explained|the|teeth|need|washing|both|morning|and|night.
6,1592934588360,23/06/2020 17:49:48,1592934587554,-4,23/06/2020 13:49:47,19534,4,task-41g1,,5752241,,1610697,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,SPR,9,L2,L2,2,1,2,ReadingPres,Zone1,reading,367.3220000000001,null,,explained,3,0,1,0,,,false,1,1,Trial,The|dentist|explained|the|teeth|need|washing|both|morning|and|night.
7,1592934588738,23/06/2020 17:49:48,1592934587923,-4,23/06/2020 13:49:47,19534,4,task-41g1,,5752241,,1610697,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,SPR,9,L2,L2,2,1,2,ReadingPres,Zone1,reading,367.0799999999999,null,,the,4,0,1,0,,,false,1,1,Trial,The|dentist|explained|the|teeth|need|washing|both|morning|and|night.
8,1592934589098,23/06/2020 17:49:49,1592934588290,-4,23/06/2020 13:49:48,19534,4,task-41g1,,5752241,,1610697,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,SPR,9,L2,L2,2,1,2,ReadingPres,Zone1,reading,367.0050000000001,null,,teeth,5,0,1,0,,,false,1,1,Trial,The|dentist|explained|the|teeth|need|washing|both|morning|and|night.
9,1592934589472,23/06/2020 17:49:49,1592934588635,-4,23/06/2020 13:49:48,19534,4,task-41g1,,5752241,,1610697,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,SPR,9,L2,L2,2,1,2,ReadingPres,Zone1,reading,350.46500000000015,null,,need,6,0,1,0,,,false,1,1,Trial,The|dentist|explained|the|teeth|need|washing|both|morning|and|night.
10,1592934589817,23/06/2020 17:49:49,1592934589010,-4,23/06/2020 13:49:49,19534,4,task-41g1,,5752241,,1610697,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,SPR,9,L2,L2,2,1,2,ReadingPres,Zone1,reading,366.90099999999984,null,,washing,7,0,1,0,,,false,1,1,Trial,The|dentist|explained|the|teeth|need|washing|both|morning|and|night.
11,1592934590222,23/06/2020 17:49:50,1592934589402,-4,23/06/2020 13:49:49,19534,4,task-41g1,,5752241,,1610697,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,SPR,9,L2,L2,2,1,2,ReadingPres,Zone1,reading,400.60199999999986,null,,both,8,0,1,0,,,false,1,1,Trial,The|dentist|explained|the|teeth|need|washing|both|morning|and|night.
12,1592934590551,23/06/2020 17:49:50,1592934589741,-4,23/06/2020 13:49:49,19534,4,task-41g1,,5752241,,1610697,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,SPR,9,L2,L2,2,1,2,ReadingPres,Zone1,reading,333.6919999999991,null,,morning,9,0,1,0,,,false,1,1,Trial,The|dentist|explained|the|teeth|need|washing|both|morning|and|night.
