Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-54mp,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,sentence,Label,
1,1593192579707,26/06/2020 17:29:39,1593192573946,-4,26/06/2020 13:29:33,18296,9,task-jc6p,,5796956,,1628844,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1246x814,,ReadingAcceptability,16,L3,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1593192641094,26/06/2020 17:30:41,1593192635376,-4,26/06/2020 13:30:35,18296,9,task-jc6p,,5796956,,1628844,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1246x814,,ReadingAcceptability,16,L3,Practice,1,1,1,Screen 1,advancementZone,continue_button,61406,null,,null,,0,1,0,,,false,,,IntroductionPractice,,,
3,1593192643119,26/06/2020 17:30:43,1593192637405,-4,26/06/2020 13:30:37,18296,9,task-jc6p,,5796956,,1628844,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1246x814,,ReadingAcceptability,16,L3,Practice,9,1,1,Transition,advancementZone,continue_button,2011.0000000000073,null,,null,,0,1,0,,,false,,,EndPractice,,,
4,1593192643338,26/06/2020 17:30:43,1593192637408,-4,26/06/2020 13:30:37,18296,9,task-jc6p,,5796956,,1628844,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1246x814,,ReadingAcceptability,16,L3,,,END TASK,,,,,63462,,,,,0,1,0,,,,,,,,,
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
