Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-54mp,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,sentence,label,TriggerWord,Label
1,1594143485681,07/07/2020 17:38:05,1594143485561,-4,07/07/2020 13:38:05,19534,7,task-3sz3,,5952531,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1594143505181,07/07/2020 17:38:25,1594143505082,-4,07/07/2020 13:38:25,19534,7,task-3sz3,,5952531,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,Practice,1,1,1,Practice Instructions,advancementZone,continue_button,19420.47499999171,null,,null,,0,1,0,,,false,,,IntroductionPractice,,,,
3,1594143505509,07/07/2020 17:38:25,1594143505430,-4,07/07/2020 13:38:25,19534,7,task-3sz3,,5952531,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,Practice,8,1,1,Fixation,fixation,fixation,367.0570000000007,null,,null,,0,1,0,,,false,1,1,Trial,"During|the|expedition,|the|archaeologists|explored|a|cocktail|to|look|for|Egyptian|artifacts.",,8,F.SS.I.4
4,1594143506384,07/07/2020 17:38:26,1594143506319,-4,07/07/2020 13:38:26,19534,7,task-3sz3,,5952531,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,Practice,8,1,2,ReadingPres,Zone1,reading,884.4310000000005,null,,During,1,0,1,0,,,false,1,1,Trial,"During|the|expedition,|the|archaeologists|explored|a|cocktail|to|look|for|Egyptian|artifacts.",,8,F.SS.I.4
5,1594143507043,07/07/2020 17:38:27,1594143506968,-4,07/07/2020 13:38:26,19534,7,task-3sz3,,5952531,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,Practice,8,1,2,ReadingPres,Zone1,reading,650.7160000000003,null,,the,2,0,1,0,,,false,1,1,Trial,"During|the|expedition,|the|archaeologists|explored|a|cocktail|to|look|for|Egyptian|artifacts.",,8,F.SS.I.4
6,1594143507465,07/07/2020 17:38:27,1594143507389,-4,07/07/2020 13:38:27,19534,7,task-3sz3,,5952531,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,Practice,8,1,2,ReadingPres,Zone1,reading,416.9249999999993,null,,"expedition,",3,0,1,0,,,false,1,1,Trial,"During|the|expedition,|the|archaeologists|explored|a|cocktail|to|look|for|Egyptian|artifacts.",,8,F.SS.I.4
7,1594143507871,07/07/2020 17:38:27,1594143507801,-4,07/07/2020 13:38:27,19534,7,task-3sz3,,5952531,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,Practice,8,1,2,ReadingPres,Zone1,reading,417.3319999999985,null,,the,4,0,1,0,,,false,1,1,Trial,"During|the|expedition,|the|archaeologists|explored|a|cocktail|to|look|for|Egyptian|artifacts.",,8,F.SS.I.4
8,1594143508386,07/07/2020 17:38:28,1594143508321,-4,07/07/2020 13:38:28,19534,7,task-3sz3,,5952531,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,Practice,8,1,2,ReadingPres,Zone1,reading,517.2270000000026,null,,archaeologists,5,0,1,0,,,false,1,1,Trial,"During|the|expedition,|the|archaeologists|explored|a|cocktail|to|look|for|Egyptian|artifacts.",,8,F.SS.I.4
9,1594143508800,07/07/2020 17:38:28,1594143508720,-4,07/07/2020 13:38:28,19534,7,task-3sz3,,5952531,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,Practice,8,1,2,ReadingPres,Zone1,reading,400.3040000000001,null,,explored,6,0,1,0,,,false,1,1,Trial,"During|the|expedition,|the|archaeologists|explored|a|cocktail|to|look|for|Egyptian|artifacts.",,8,F.SS.I.4
10,1594143509378,07/07/2020 17:38:29,1594143509315,-4,07/07/2020 13:38:29,19534,7,task-3sz3,,5952531,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,Practice,8,1,2,ReadingPres,Zone1,reading,584.1280000000006,null,,a,7,0,1,0,,,false,1,1,Trial,"During|the|expedition,|the|archaeologists|explored|a|cocktail|to|look|for|Egyptian|artifacts.",,8,F.SS.I.4
