Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-54mp,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,sentence
1,1592933719695,23/06/2020 17:35:19,1592933718814,-4,23/06/2020 13:35:18,18296,8,task-unoq,,5752082,,1610641,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L3,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1592933723409,23/06/2020 17:35:23,1592933722595,-4,23/06/2020 13:35:22,18296,8,task-unoq,,5752082,,1610641,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L3,L3,1,1,1,Instructions,advancementZone,continue_button,3698.304999998072,null,,null,,0,1,0,,,false,,,Introduction,
3,1592933723881,23/06/2020 17:35:23,1592933723061,-4,23/06/2020 13:35:23,18296,8,task-unoq,,5752082,,1610641,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L3,L3,15,1,1,Fixation,fixation,fixation,500.54199999999946,null,,null,,0,1,0,,,false,3,3,Acceptability Judgment,My| |mom| |said| |the| |coffee| |needs| |brewed| |before| |she| |wakes| |up.
4,1592933724175,23/06/2020 17:35:24,1592933723362,-4,23/06/2020 13:35:23,18296,8,task-unoq,,5752082,,1610641,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L3,L3,15,1,2,RSVP,Zone1,reading,300.45300000000043,null,,My,1,0,1,0,,,false,3,3,Acceptability Judgment,My| |mom| |said| |the| |coffee| |needs| |brewed| |before| |she| |wakes| |up.
5,1592933724472,23/06/2020 17:35:24,1592933723663,-4,23/06/2020 13:35:23,18296,8,task-unoq,,5752082,,1610641,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L3,L3,15,1,2,RSVP,Zone1,reading,300.2629999999999,null,, ,2,0,1,0,,,false,3,3,Acceptability Judgment,My| |mom| |said| |the| |coffee| |needs| |brewed| |before| |she| |wakes| |up.
6,1592933724784,23/06/2020 17:35:24,1592933723963,-4,23/06/2020 13:35:23,18296,8,task-unoq,,5752082,,1610641,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L3,L3,15,1,2,RSVP,Zone1,reading,300.4309999999996,null,,mom,3,0,1,0,,,false,3,3,Acceptability Judgment,My| |mom| |said| |the| |coffee| |needs| |brewed| |before| |she| |wakes| |up.
7,1592933725068,23/06/2020 17:35:25,1592933724263,-4,23/06/2020 13:35:24,18296,8,task-unoq,,5752082,,1610641,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L3,L3,15,1,2,RSVP,Zone1,reading,300.28900000000067,null,, ,4,0,1,0,,,false,3,3,Acceptability Judgment,My| |mom| |said| |the| |coffee| |needs| |brewed| |before| |she| |wakes| |up.
8,1592933725365,23/06/2020 17:35:25,1592933724563,-4,23/06/2020 13:35:24,18296,8,task-unoq,,5752082,,1610641,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L3,L3,15,1,2,RSVP,Zone1,reading,300.3099999999995,null,,said,5,0,1,0,,,false,3,3,Acceptability Judgment,My| |mom| |said| |the| |coffee| |needs| |brewed| |before| |she| |wakes| |up.
9,1592933725693,23/06/2020 17:35:25,1592933724863,-4,23/06/2020 13:35:24,18296,8,task-unoq,,5752082,,1610641,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L3,L3,15,1,2,RSVP,Zone1,reading,300.1999999999998,null,, ,6,0,1,0,,,false,3,3,Acceptability Judgment,My| |mom| |said| |the| |coffee| |needs| |brewed| |before| |she| |wakes| |up.
10,1592933725976,23/06/2020 17:35:25,1592933725165,-4,23/06/2020 13:35:25,18296,8,task-unoq,,5752082,,1610641,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L3,L3,15,1,2,RSVP,Zone1,reading,300.45400000000063,null,,the,7,0,1,0,,,false,3,3,Acceptability Judgment,My| |mom| |said| |the| |coffee| |needs| |brewed| |before| |she| |wakes| |up.
