Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-54mp,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,sentence,Label,
1,1593192197637,26/06/2020 17:23:17,1593192191853,-4,26/06/2020 13:23:11,18296,9,task-jc6p,,5796887,,1628810,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1246x814,,ReadingAcceptability,16,L3,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1593192240341,26/06/2020 17:24:00,1593192234336,-4,26/06/2020 13:23:54,18296,9,task-jc6p,,5796887,,1628810,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1246x814,,ReadingAcceptability,16,L3,Practice,1,1,1,Screen 1,advancementZone,continue_button,42449,null,,null,,0,1,0,,,false,,,IntroductionPractice,,,
3,1593192294240,26/06/2020 17:24:54,1593192288489,-4,26/06/2020 13:24:48,18296,9,task-jc6p,,5796887,,1628810,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1246x814,,ReadingAcceptability,16,L3,Practice,9,1,1,Transition,advancementZone,continue_button,54133,null,,null,,0,1,0,,,false,,,EndPractice,,,
4,1593192294381,26/06/2020 17:24:54,1593192288493,-4,26/06/2020 13:24:48,18296,9,task-jc6p,,5796887,,1628810,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1246x814,,ReadingAcceptability,16,L3,,,END TASK,,,,,96640,,,,,0,1,0,,,,,,,,,
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
